Food,Sugar,Carbs,Calories,Fiber,Protein,Fat,Sodium,Risk_Score,Label
margarine with yoghurt,0.0,0.073,88.0,0.0,0.058,9.8,0.018,0.5641436,Highly Recommended
sunflower seed butter,1.7,3.7,99.0,0.9,2.8,8.8,0.065,3.040595000000001,Recommended
hazelnut oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
menhaden fish oil,0.0,0.0,1966.0,0.0,0.0,218.0,0.0,10.9,Moderate
cod liver fish oil,0.0,0.0,123.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
sardine oil,0.0,0.0,123.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
cupu assu oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
lard,0.0,0.0,115.0,0.0,0.0,12.8,0.0,0.6400000000000001,Highly Recommended
sesame butter,0.0,3.8,94.0,0.9,2.9,8.1,0.031,-0.24111000000000038,Highly Recommended
margarine spread,0.0,0.1,59.0,0.0,0.082,6.7,0.019,0.43607500000000005,Highly Recommended
lard vegetable oil,0.0,0.0,115.0,0.0,0.0,12.8,0.0,0.6400000000000001,Highly Recommended
shortening,0.0,0.0,113.0,0.0,0.0,12.8,0.0,0.6400000000000001,Highly Recommended
vegetable oil spread,0.0,0.1,75.0,0.0,0.007,8.4,0.081,0.521935,Highly Recommended
cottonseed oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
vegetable oil spread fat free,0.0,0.4,6.0,0.0,0.2,0.5,0.1,0.4263600000000001,Highly Recommended
soy margarine,0.0,0.0,88.0,0.0,0.0,9.9,0.1,0.49600000000000005,Highly Recommended
margarine with salt,0.0,0.017,100.0,0.0,0.031,11.3,0.1,0.5832550000000001,Highly Recommended
margarine,0.0,0.018,102.0,0.0,0.037,11.5,0.091,0.5941854,Highly Recommended
salmon fish oil,0.0,0.0,123.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
nutmeg butter oil,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,10.9,Moderate
almond butter,0.7,3.0,98.0,1.6,3.4,8.9,0.037,-3.7755300000000007,Highly Recommended
sour cream shoprite,0.014,1.0,60.0,0.0,0.0,5.0,0.0,1.301,Highly Recommended
ucuhuba butter oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
chicken fat,0.0,0.0,115.0,0.0,0.0,12.8,0.0,0.6400000000000001,Highly Recommended
herring fish oil,0.0,0.0,123.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
bacon grease,0.0,0.0,39.0,0.0,0.0,4.3,0.009,0.21509,Highly Recommended
turkey fat,0.0,0.0,45.0,0.0,0.0,5.0,0.0,0.25,Highly Recommended
beef tallow,0.0,0.0,115.0,0.0,0.0,12.8,0.0,0.6400000000000001,Highly Recommended
goose fat,0.0,0.0,45.0,0.0,0.0,5.0,0.0,0.25,Highly Recommended
duck fat,0.0,0.0,44.0,0.0,0.0,5.0,0.0,0.25,Highly Recommended
mutton tallow,0.0,0.0,45.0,0.0,0.0,5.0,0.0,0.25,Highly Recommended
grapeseed oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
sheanut oil,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,10.9,Moderate
almond oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
sunflower oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
cashew butter,0.8,4.4,94.0,0.3,2.8,7.9,0.071,5.17275,Recommended
canola oil,0.0,0.0,124.0,0.0,0.0,14.0,0.0,0.7000000000000001,Highly Recommended
babassu oil,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,10.9,Moderate
teaseed oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
avocado oil,0.0,0.0,124.0,0.0,0.0,14.0,0.0,0.7000000000000001,Highly Recommended
vegetable palm kernel oil,0.0,0.0,117.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
coconut oil,0.0,0.0,117.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
safflower oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
vegetable oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
apricot kernel oil,0.0,0.0,40.0,0.0,0.0,4.5,0.0,0.225,Highly Recommended
peanut oil,0.0,0.0,119.0,0.0,0.0,13.5,0.0,0.675,Highly Recommended
poppyseed oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
flaxseed oil,0.0,0.0,120.0,0.0,0.086,13.6,0.0,0.68,Highly Recommended
tomatoseed oil,0.0,0.0,1927.0,0.0,0.0,218.0,0.0,10.9,Moderate
wheat germ oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
sesame oil,0.0,0.0,40.0,0.0,0.0,4.5,0.0,0.225,Highly Recommended
corn granola oil,0.0,0.0,124.0,0.0,0.0,14.0,0.0,0.7000000000000001,Highly Recommended
cocoa butter oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
olive oil,0.0,0.0,119.0,0.0,0.0,13.5,0.004,0.6750400000000001,Highly Recommended
palm kernel oil,0.0,0.0,40.0,0.0,0.0,4.5,0.098,0.22598000000000001,Highly Recommended
mustard oil,0.0,0.0,124.0,0.0,0.0,14.0,0.0,0.7000000000000001,Highly Recommended
rice bran oil,0.0,0.0,120.0,0.0,0.0,13.6,0.0,0.68,Highly Recommended
vegetable macaroni dry,0.0,62.9,308.0,3.6,11.0,0.9,0.06,47.85158,Avoid
chow mein noodles,0.5,37.5,257.0,1.5,5.9,9.9,0.5,32.470625,Moderate
chinese noodles,0.0,111.9,456.0,0.7,0.2,0.094,0.088,115.24558,Avoid
vegetable macaroni cooked,1.5,35.7,172.0,5.8,6.1,0.1,0.015,9.20121,Moderate
corn pasta dry,0.0,83.2,375.0,11.6,7.8,2.2,0.027,29.990270000000017,Moderate
egg noodles dry,0.7,27.1,146.0,1.3,5.4,1.7,0.095,22.01444,Moderate
whole wheat spaghetti dry,0.0,21.2,98.0,0.0,4.1,0.4,0.002,21.53166,Moderate
japanese soba noodles dry,0.0,21.1,95.0,0.0,4.1,0.2,0.2,21.412675,Moderate
rice noodles dry,0.0,23.6,103.0,0.5,1.0,0.2,0.006,21.474680000000003,Moderate
spinach spaghetti dry,0.8,21.2,105.0,3.0,3.8,0.4,0.094,7.3948399999999985,Recommended
egg noodles cooked,0.3,20.1,110.0,1.0,3.6,1.7,0.027,15.831920000000004,Moderate
japanese somen noodles cooked,0.0,48.5,231.0,0.0,7.0,0.3,0.3,50.198525000000004,Avoid
whole wheat macaroni dry,0.0,78.8,365.0,8.7,15.4,1.5,0.028,39.68958000000001,Moderate
pasta marinara and ground beef sauce,1.0,4.1,41.0,0.5,2.5,1.6,0.0,3.7302150000000003,Recommended
macaroni raw,2.8,78.4,390.0,3.4,13.7,1.6,0.097,69.00737,Avoid
spaghetti dry,0.8,21.1,105.0,0.9,3.7,0.4,0.09,17.793225000000003,Moderate
fusilli cucina,0.041,3.4,100.0,0.0,0.0,0.4,0.0,3.594,Recommended
japanese somen noodles dry,0.0,21.0,101.0,1.2,3.2,0.2,0.5,15.33315,Moderate
pasta cooked,0.0,57.3,301.0,0.0,11.8,2.4,0.073,60.00782499999999,Avoid
macaroni cooked,0.8,43.2,221.0,2.5,8.1,1.3,0.071,33.03779,Moderate
spinach egg noodles dry,0.0,26.7,145.0,2.6,5.6,1.7,0.096,14.366684999999999,Moderate
japanese soba noodles cooked,0.0,24.4,113.0,0.0,5.8,0.1,0.1,24.81958,Moderate
